inventory_id,product_id,warehouse_id,quantity_on_hand,reserved_quantity,reorder_threshold,last_restocked_date
f9e2a8ec-f563-41fb-9f19-43496c605d6f,6c41ea8e-3813-45d2-b4f6-ca135c24830b,bbc4323f-7fdc-4913-8813-74f66d90fbff,3324,151,165,2024-04-24
6dc5390d-6497-42cf-a802-eecca4d51a33,98f438d6-f7a1-4005-90a6-295c0a2e1c44,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,185,148,88,2024-04-06
771cd7db-cee0-4fd1-80a8-ca3dcde456d1,98f438d6-f7a1-4005-90a6-295c0a2e1c44,2f1e95b4-aa81-4b55-926d-70531f59528d,4228,130,359,2024-04-07
bf3a1ef8-a072-4443-a948-984bb3c1735e,7daf1809-d3e6-4f8e-aaa6-d6078985b433,17c4e490-aea6-450e-8341-edd09cb436b7,2630,63,245,2024-02-18
feb2c024-fda5-42e4-9d5d-75859fa120e1,7daf1809-d3e6-4f8e-aaa6-d6078985b433,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,517,95,75,2024-02-11
ab903c01-61f1-4cd7-9148-be83cc1970c4,a9918510-e98b-4acd-a0e5-b04aef16292b,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,3116,149,442,2024-04-24
7e1f7256-e81e-448d-9dcd-cfce2ba48e8b,a9918510-e98b-4acd-a0e5-b04aef16292b,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,1024,85,437,2024-04-01
d83300cc-fde1-4191-8b75-9ee95b87bae2,a9918510-e98b-4acd-a0e5-b04aef16292b,3b5e3aa9-ba0f-4938-8883-41d61182dc94,270,28,423,2024-03-05
d26ea8fc-850e-4a84-8d41-f3f5c0b0e1d4,f5f36f0b-edb5-49ec-8e81-94063863cd5c,bbc4323f-7fdc-4913-8813-74f66d90fbff,4690,23,186,2024-04-03
52c1c4ec-26f6-47f4-b188-4abdabd3e328,f5f36f0b-edb5-49ec-8e81-94063863cd5c,675870cd-1868-4277-aeba-578addec8838,4180,117,440,2024-01-31
b55e6a7b-3a19-4ee5-8131-1cffaf080e2c,f5f36f0b-edb5-49ec-8e81-94063863cd5c,17c4e490-aea6-450e-8341-edd09cb436b7,968,155,315,2024-04-14
2e06cacb-174a-466a-974c-589dca9b6157,776b3ddd-51e1-435c-9102-99e6452acb0f,3b5e3aa9-ba0f-4938-8883-41d61182dc94,4286,96,205,2024-02-06
23a1d29a-e7dc-4190-aa53-ff1f4d20fd7e,776b3ddd-51e1-435c-9102-99e6452acb0f,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,4146,34,410,2024-03-09
50be4308-2542-4356-b2c8-e1f8d69654d4,c2cfc04e-2ca6-4c7d-9dc9-b774a7836515,17c4e490-aea6-450e-8341-edd09cb436b7,3407,122,418,2024-02-15
5d08c4fe-4ea6-47ed-96b2-efbeb37fbb39,c2cfc04e-2ca6-4c7d-9dc9-b774a7836515,ab993ac2-3403-4413-88ca-adf00cee0973,3858,8,104,2024-02-10
712cf648-62dc-4165-8cf9-624d8e8651e0,13cac9bc-dea0-4b93-8e7d-e4cd86e4f3a9,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4913,115,401,2024-02-21
6ce82cd9-3292-4b2e-b39c-9be80741eb98,13cac9bc-dea0-4b93-8e7d-e4cd86e4f3a9,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,3240,51,465,2024-03-18
8455420b-2f11-45d7-add2-ebc05a894f47,13cac9bc-dea0-4b93-8e7d-e4cd86e4f3a9,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,984,143,375,2024-03-10
00037297-500d-4165-a50e-1b512fba6750,b8d41a34-a7dc-4754-98a0-f0f992ad25ea,bf354916-9528-4db9-8189-f6524573c41b,2581,156,103,2024-04-24
ae654136-5c76-4b51-a4d5-507d58559b56,b8d41a34-a7dc-4754-98a0-f0f992ad25ea,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4776,88,220,2024-04-15
a4cc0894-bd55-4269-95ce-4caee20231bd,65118aeb-4f59-4ee6-af15-7d86369917ea,414c90e8-1f79-4fac-aa23-cea655b18828,4316,87,375,2024-04-16
ddb0f2e9-ad8a-41d0-9e96-ac92bb9121f9,65118aeb-4f59-4ee6-af15-7d86369917ea,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,649,169,147,2024-02-20
4cd91b4b-8afc-4df2-898f-8e0508d410d5,5b30879c-6d13-46a9-927c-fb45c0b2511d,ab993ac2-3403-4413-88ca-adf00cee0973,963,164,59,2024-03-28
b9361951-06ef-47d7-ab9b-30b6374e73fb,5b30879c-6d13-46a9-927c-fb45c0b2511d,186252aa-ede5-4d43-ae8c-afa67e2d2f41,1770,37,101,2024-02-09
aa260e5a-31a8-4592-ab38-9b48c9a4a1e5,924898b3-1dec-45d4-880d-0aa9d95edd1a,2f1e95b4-aa81-4b55-926d-70531f59528d,515,99,381,2024-02-29
5a02075a-1bfe-422a-961f-e603a52ac9f6,924898b3-1dec-45d4-880d-0aa9d95edd1a,ab993ac2-3403-4413-88ca-adf00cee0973,2723,62,429,2024-02-15
6ca82b21-f9ff-4341-aa12-e6f5bf8007e8,924898b3-1dec-45d4-880d-0aa9d95edd1a,bf354916-9528-4db9-8189-f6524573c41b,4145,144,317,2024-03-21
fbe41b62-76ef-4372-b0d1-84123ed80115,12e8e23e-ef53-4c2e-8a8a-ce17bf483309,bbc4323f-7fdc-4913-8813-74f66d90fbff,2911,183,137,2024-03-25
bf6c31a8-028a-47ee-886a-1ec2ed06ec29,12e8e23e-ef53-4c2e-8a8a-ce17bf483309,90d6c40d-10d6-432b-99fe-bd1448f1aa57,298,22,171,2024-04-17
b31a17ab-d5a7-49cb-ae2f-ed3346d96ec4,c30ab2ad-8511-4b2d-92e9-d7baf921264b,186252aa-ede5-4d43-ae8c-afa67e2d2f41,1492,193,79,2024-03-23
7969cd99-6fab-4889-8661-86cb75987d51,c30ab2ad-8511-4b2d-92e9-d7baf921264b,2f1e95b4-aa81-4b55-926d-70531f59528d,4464,17,193,2024-04-12
7de2caee-54b4-49f5-a614-48b56652d81b,c30ab2ad-8511-4b2d-92e9-d7baf921264b,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,3005,54,84,2024-03-22
4a37175d-d088-4af0-8e6b-0f3b32b248d2,f103b5cf-38f6-45d6-b76b-a020b68451b4,3b5e3aa9-ba0f-4938-8883-41d61182dc94,4926,199,129,2024-03-09
63de2958-045f-46d1-bb03-1c30b3083cbb,f103b5cf-38f6-45d6-b76b-a020b68451b4,17c4e490-aea6-450e-8341-edd09cb436b7,4824,92,367,2024-03-01
5832d559-bb97-494b-ba8d-34f153bc4f01,cbfb6290-e299-4575-8144-d40f6c368e24,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,4655,157,382,2024-03-05
ffe2a292-36c1-4d24-8826-ed4d9ad1e276,cbfb6290-e299-4575-8144-d40f6c368e24,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,659,82,249,2024-02-12
ad4c2b6b-23d7-4056-9577-b128bc397a6e,6c2ab5b6-4994-44d9-8abd-0199fefcf8d2,414c90e8-1f79-4fac-aa23-cea655b18828,2060,8,360,2024-04-24
a99b0ed0-4bad-4596-8a7c-e93fb9a228eb,6c2ab5b6-4994-44d9-8abd-0199fefcf8d2,fa42ec50-bf62-41ae-851d-68ee160f73ae,2924,121,263,2024-03-05
83aa4073-a8d7-4e11-939a-d040ae892a33,1e8ccb07-0e1a-46d5-8e66-793344e9f015,bf354916-9528-4db9-8189-f6524573c41b,1107,136,294,2024-02-12
0c576b3d-edcf-4333-b2ca-b138de298149,1e8ccb07-0e1a-46d5-8e66-793344e9f015,ab993ac2-3403-4413-88ca-adf00cee0973,3809,22,143,2024-03-29
658ad2df-3b0e-4224-910e-927e2805c4fd,e3a972cc-5508-4030-8f2d-ff53b3be04da,bbc4323f-7fdc-4913-8813-74f66d90fbff,3330,142,350,2024-04-11
31d04f3b-b92a-45f8-af2d-789ff133b9cf,79dd1461-a718-4cf9-bc1b-76b8d3c0054f,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4214,54,460,2024-03-24
2370e28b-8cb5-4a8e-9c7f-1b153c67cc60,79dd1461-a718-4cf9-bc1b-76b8d3c0054f,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,4845,124,418,2024-03-29
d45ea57f-c420-4723-b366-9d0d84deb9fc,69d3f8e5-c227-40f2-91b9-32d60a2e955c,675870cd-1868-4277-aeba-578addec8838,2869,7,242,2024-04-07
5f072f5f-1f7d-49fc-8e5f-d41e5eb9f7fd,69d3f8e5-c227-40f2-91b9-32d60a2e955c,bf354916-9528-4db9-8189-f6524573c41b,3342,21,372,2024-03-12
6efd349f-267c-47cc-a035-4ea96dc06480,1155b0eb-20a9-488d-8def-4566aedf263c,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,2625,130,137,2024-03-31
c861ee3c-1711-4c69-9ba2-024070529b75,1155b0eb-20a9-488d-8def-4566aedf263c,90d6c40d-10d6-432b-99fe-bd1448f1aa57,2850,197,492,2024-03-20
387a5836-0d65-4283-8001-d47ad95aa997,600186e8-bc6b-4ee4-b307-ca52f938ceab,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,1898,123,137,2024-03-30
e6329959-5426-4b0d-96bf-a8f8144673a6,600186e8-bc6b-4ee4-b307-ca52f938ceab,3b5e3aa9-ba0f-4938-8883-41d61182dc94,3607,35,73,2024-02-25
c26e9eaa-f979-4021-85bd-d7d0825cb592,1e515b60-24d7-442a-8690-3a2f685e70f1,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4779,122,391,2024-03-21
b4640dd3-b867-4e3a-84ba-fa00e43c3150,1e515b60-24d7-442a-8690-3a2f685e70f1,186252aa-ede5-4d43-ae8c-afa67e2d2f41,2422,153,75,2024-04-22
df9bf3cb-880e-4bef-a184-876676f234e3,92be1883-8c0a-48ee-99f2-7d4f4411475c,90d6c40d-10d6-432b-99fe-bd1448f1aa57,1238,147,201,2024-04-23
97a5a091-2475-4e61-9b0b-b8d6eb9d6a5e,92be1883-8c0a-48ee-99f2-7d4f4411475c,414c90e8-1f79-4fac-aa23-cea655b18828,3293,34,87,2024-03-09
25c29562-4446-4e75-ba96-b42a0fa14f8e,92be1883-8c0a-48ee-99f2-7d4f4411475c,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,4943,120,321,2024-03-20
c63b8730-5f7c-481f-80b8-3da20a5b6395,0461e418-f8b3-47d2-8093-946f584a11d8,675870cd-1868-4277-aeba-578addec8838,3967,190,378,2024-03-21
a80cc7ba-a278-4596-9a2f-2cb0ed29f232,0461e418-f8b3-47d2-8093-946f584a11d8,fa42ec50-bf62-41ae-851d-68ee160f73ae,1281,155,69,2024-04-07
9f6bc81e-3587-4cd1-8189-f1e909833450,ad1cd9b4-a894-474f-914b-fc37983fe183,90d6c40d-10d6-432b-99fe-bd1448f1aa57,2325,140,329,2024-04-05
19b296d5-4c66-45a2-843f-0fee98e58b13,142ad62e-7e02-4c0d-bcac-26f13631996c,414c90e8-1f79-4fac-aa23-cea655b18828,3582,161,124,2024-02-14
cd01790f-818c-4cf9-af6f-e6176a7a5ead,7034980c-5175-4a20-a427-2d71bc795b8e,bf354916-9528-4db9-8189-f6524573c41b,1988,148,329,2024-04-09
0dde078a-b125-40c3-87e7-57ac05777faf,7034980c-5175-4a20-a427-2d71bc795b8e,3b5e3aa9-ba0f-4938-8883-41d61182dc94,2989,117,200,2024-04-16
3e47f326-1b90-4c59-b390-5ae25703c5aa,de1d4407-d2fa-404e-bcb5-f71f0f15ef97,2f1e95b4-aa81-4b55-926d-70531f59528d,207,183,339,2024-03-03
f41085fa-cd36-49a9-992c-e9af920b4de3,de1d4407-d2fa-404e-bcb5-f71f0f15ef97,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,1803,185,459,2024-02-17
71104516-ffb2-4491-9685-1859699ed931,3426ec76-1cd3-4c31-8594-a087fc7160bb,2f1e95b4-aa81-4b55-926d-70531f59528d,3734,180,161,2024-02-19
e8ebc250-6ecf-4017-9df2-8a7517ec2a65,3426ec76-1cd3-4c31-8594-a087fc7160bb,fa42ec50-bf62-41ae-851d-68ee160f73ae,3334,164,201,2024-03-07
c7aefb80-c1ec-4d11-9328-cf6efbcb961a,3426ec76-1cd3-4c31-8594-a087fc7160bb,3b5e3aa9-ba0f-4938-8883-41d61182dc94,1499,188,109,2024-03-06
71710853-f9d6-47ed-adfa-c96019cd444e,eccdcd77-dbc3-4907-beff-17017b3dd58c,bbc4323f-7fdc-4913-8813-74f66d90fbff,2786,61,188,2024-03-08
e08481b7-9d43-442f-87ea-d502afcf4c47,eccdcd77-dbc3-4907-beff-17017b3dd58c,bf354916-9528-4db9-8189-f6524573c41b,1036,78,208,2024-04-24
c797ff90-1654-426d-9613-081c2f758e01,eccdcd77-dbc3-4907-beff-17017b3dd58c,ab993ac2-3403-4413-88ca-adf00cee0973,4150,88,233,2024-03-22
f80799d6-6f08-4edc-a705-9d535dbff6ee,65d2d469-69fe-4267-94be-d6b144d391e3,3b5e3aa9-ba0f-4938-8883-41d61182dc94,3374,183,394,2024-03-19
897b21b1-2723-48c8-a14b-b6622c164c2f,65d2d469-69fe-4267-94be-d6b144d391e3,675870cd-1868-4277-aeba-578addec8838,3657,145,310,2024-04-28
02c8834d-ea3f-42f7-a8dd-d48063558d3c,65d2d469-69fe-4267-94be-d6b144d391e3,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,4325,147,139,2024-03-28
cfa75140-d622-43aa-bbaf-cfcd8179c9cc,ede04c8f-d31f-4323-bca6-95eaa5915bde,2f1e95b4-aa81-4b55-926d-70531f59528d,675,44,98,2024-03-30
e8ae84d4-a063-449b-b1d7-b01ee51ea1a2,ede04c8f-d31f-4323-bca6-95eaa5915bde,ab993ac2-3403-4413-88ca-adf00cee0973,2538,96,310,2024-04-03
5b3610e8-a930-4536-b76c-1658daa921e2,ede04c8f-d31f-4323-bca6-95eaa5915bde,3b5e3aa9-ba0f-4938-8883-41d61182dc94,4675,44,333,2024-02-19
86bb1fdf-1677-4bc7-b95b-cd448d7ab1d5,25d1d442-7bb2-424b-998b-ff01f7d07488,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,2590,94,424,2024-03-29
7483c7ae-8a41-4e98-96db-574c7c94452d,25d1d442-7bb2-424b-998b-ff01f7d07488,186252aa-ede5-4d43-ae8c-afa67e2d2f41,2708,148,62,2024-02-26
74e33450-8883-45bb-810c-35468068034f,f86d4b1b-0305-4720-b993-462775429252,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,2891,138,423,2024-03-17
311f1fb5-1228-4c62-9474-0ece911c4912,f86d4b1b-0305-4720-b993-462775429252,fa42ec50-bf62-41ae-851d-68ee160f73ae,2240,78,173,2024-03-11
d45e3a1b-c26c-4bb2-8d47-c32f73d18a10,b332d126-f371-4c93-bd27-10f4c7108ced,ab993ac2-3403-4413-88ca-adf00cee0973,2144,49,223,2024-02-13
880f98ca-4907-494e-a5a8-53b22473aebf,b332d126-f371-4c93-bd27-10f4c7108ced,bf354916-9528-4db9-8189-f6524573c41b,4095,149,308,2024-04-27
a5f49032-3357-4fe7-8b54-e35af1506023,4baf4d99-4fc4-48d3-a7f2-8085d665d63e,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,997,98,344,2024-04-30
d6970ee8-84aa-4e52-90ea-ce34c0390516,4baf4d99-4fc4-48d3-a7f2-8085d665d63e,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4727,2,177,2024-02-18
a4f63efd-4070-4946-9d93-471b6953e7ab,90749ee3-3950-4306-b8fd-82ab30316518,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,2584,74,498,2024-03-20
1de90591-6d21-44a8-a2c6-57adb28bcd0a,90749ee3-3950-4306-b8fd-82ab30316518,3b5e3aa9-ba0f-4938-8883-41d61182dc94,4540,170,113,2024-02-06
817ab385-32f3-4c6b-8b61-67dcd9b5b0b4,9ac24380-bbd0-45e8-96f5-758f07dacb2d,3b5e3aa9-ba0f-4938-8883-41d61182dc94,1272,134,427,2024-03-27
4f91bbff-24be-44df-989c-97177a9fabf6,9ac24380-bbd0-45e8-96f5-758f07dacb2d,bbc4323f-7fdc-4913-8813-74f66d90fbff,4734,160,208,2024-02-27
4dc9b675-f119-4811-b5ae-13415ac8ceff,9ac24380-bbd0-45e8-96f5-758f07dacb2d,2f1e95b4-aa81-4b55-926d-70531f59528d,1702,51,105,2024-03-23
f8ecaf52-fa56-463f-9c44-415d02a5e19e,74c80b8d-56cb-478e-86ff-def3d7997bd6,3b5e3aa9-ba0f-4938-8883-41d61182dc94,3762,5,90,2024-04-13
33026ba5-623e-4504-a7e5-a230a3cb24b5,74c80b8d-56cb-478e-86ff-def3d7997bd6,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,3670,173,241,2024-03-14
e8ad7c97-9f6c-416d-832a-b7f182a9e9fa,36515e0e-2b04-4b7e-a474-d250d7522c25,17c4e490-aea6-450e-8341-edd09cb436b7,4695,38,481,2024-02-08
e7b197ff-1421-4bb9-bb5d-b10389b59a5c,36515e0e-2b04-4b7e-a474-d250d7522c25,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,3722,177,370,2024-04-29
6c43a5ac-535a-43b9-95f7-b240e1712a21,36515e0e-2b04-4b7e-a474-d250d7522c25,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,867,110,180,2024-02-22
e5a7f2a1-d1e7-43ae-b3c9-5e9ed6e8d429,e413da36-ad37-42da-96a5-347c3eae22fe,3b5e3aa9-ba0f-4938-8883-41d61182dc94,3566,131,494,2024-02-28
65ec3f54-9e9d-44f6-907f-cb1bcb5e45e1,52e732c2-22f2-43a0-9c70-b57bbcd3792d,17c4e490-aea6-450e-8341-edd09cb436b7,2073,26,430,2024-04-12
258a59e1-1938-447d-b1e1-1a76939c36e8,52e732c2-22f2-43a0-9c70-b57bbcd3792d,90d6c40d-10d6-432b-99fe-bd1448f1aa57,2887,117,472,2024-04-28
0d9b6ede-b424-489e-a77e-a6ef06687c3c,1a123af5-059a-4198-b930-d9952d415f02,fa42ec50-bf62-41ae-851d-68ee160f73ae,90,78,234,2024-03-14
4eed55a7-68b3-4aba-8672-df8ff096c8c4,1a123af5-059a-4198-b930-d9952d415f02,3b5e3aa9-ba0f-4938-8883-41d61182dc94,479,96,480,2024-02-22
7ee97db3-63ff-49c1-9477-1b72bd97343d,1a123af5-059a-4198-b930-d9952d415f02,414c90e8-1f79-4fac-aa23-cea655b18828,1982,35,91,2024-02-01
74a6ce53-8513-4871-83fc-44666a74fdbb,07ce8b5a-622d-406a-899d-b95710bbfb13,414c90e8-1f79-4fac-aa23-cea655b18828,4555,167,427,2024-03-27
1ac06471-c29e-4f8d-bc42-30994c3c3cd0,07ce8b5a-622d-406a-899d-b95710bbfb13,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,3105,134,107,2024-04-11
5e06baeb-6268-42dc-b379-438a00d0e6cb,164b3db4-6995-4caa-af27-c7790098bea7,bbc4323f-7fdc-4913-8813-74f66d90fbff,4714,79,366,2024-02-13
6de5bbd3-d5eb-4a41-9e7e-2c34170d06df,164b3db4-6995-4caa-af27-c7790098bea7,ab993ac2-3403-4413-88ca-adf00cee0973,1842,82,421,2024-02-05
f768d0a6-158e-4711-bfa1-e9184f8c7c27,164b3db4-6995-4caa-af27-c7790098bea7,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,631,22,184,2024-03-17
4501751a-8099-4a21-9805-00b4893cb85c,cc6d00b3-3f0c-4853-b0fd-42827e04e590,414c90e8-1f79-4fac-aa23-cea655b18828,135,47,266,2024-04-24
79e65567-52b5-4e45-9ed3-ba4112aad3d1,cc6d00b3-3f0c-4853-b0fd-42827e04e590,3b5e3aa9-ba0f-4938-8883-41d61182dc94,3388,132,72,2024-02-13
afd7f06b-166c-41d8-a1e0-3690e284e6bd,cc6d00b3-3f0c-4853-b0fd-42827e04e590,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,4899,193,443,2024-04-24
060d7a67-42f5-46c1-942f-a3bca3ced5b1,b65e9c61-d5e9-43c5-8a5e-7ccf76a1032d,186252aa-ede5-4d43-ae8c-afa67e2d2f41,1703,169,439,2024-04-16
9dbc158c-c8ec-473f-b6d5-c64a23239151,b65e9c61-d5e9-43c5-8a5e-7ccf76a1032d,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,258,121,408,2024-03-25
482f4b5d-a089-41d8-98ba-8f5d1bc817bf,654b516c-5b89-43c4-b608-34e6be329d52,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,2748,151,77,2024-03-11
2b411a5e-3a9c-4b42-99b3-f8a8aa182e6e,654b516c-5b89-43c4-b608-34e6be329d52,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,4853,72,488,2024-01-31
ac36b296-4574-4c53-b0a9-d30f47996a89,654b516c-5b89-43c4-b608-34e6be329d52,90d6c40d-10d6-432b-99fe-bd1448f1aa57,2699,183,61,2024-03-11
6d18e494-466f-4dc6-9eba-b7cdd361d925,1ed7576d-242d-43a2-a020-9ff1d2f694ee,414c90e8-1f79-4fac-aa23-cea655b18828,1839,161,152,2024-02-15
5baaa888-5997-4c54-81a1-f595c0bab6ce,689536c2-fb4d-4b88-93de-cb36da569623,fa42ec50-bf62-41ae-851d-68ee160f73ae,2247,110,100,2024-02-03
84bb3c3f-54d6-4c19-9a5d-84a5919f3b7f,689536c2-fb4d-4b88-93de-cb36da569623,bbc4323f-7fdc-4913-8813-74f66d90fbff,2573,30,70,2024-04-07
0611826b-48b4-478b-a39c-88403a7c9d8f,3a1c065d-139a-4c8a-820a-2f535e321cc4,bbc4323f-7fdc-4913-8813-74f66d90fbff,3096,0,100,2024-03-23
e72f564e-463a-475a-a061-176c4d659723,3a1c065d-139a-4c8a-820a-2f535e321cc4,17c4e490-aea6-450e-8341-edd09cb436b7,2841,147,309,2024-04-30
2cc9b18c-b7e0-4ecc-834d-b7613195fbe0,3a1c065d-139a-4c8a-820a-2f535e321cc4,186252aa-ede5-4d43-ae8c-afa67e2d2f41,3380,169,468,2024-03-15
c580fbff-329d-4e22-be72-fe57840336fa,8fd7f1ec-1f3b-4d8a-aeaf-53440e72a137,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,2816,4,376,2024-04-06
c888e91a-a11b-4e15-920b-a4a984a8e093,8fd7f1ec-1f3b-4d8a-aeaf-53440e72a137,186252aa-ede5-4d43-ae8c-afa67e2d2f41,2132,10,192,2024-02-15
15ab9d7c-c92c-4746-b42f-3d439de5da10,0b9919e3-b842-4d06-92f6-c49ea8ecac79,17c4e490-aea6-450e-8341-edd09cb436b7,1152,113,247,2024-03-13
feb504e5-61bb-43ac-985c-85a7ac3815d1,0b9919e3-b842-4d06-92f6-c49ea8ecac79,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,3014,138,186,2024-02-07
9583dcb4-94d9-4fb5-bc10-7d7344ff47ed,0b9919e3-b842-4d06-92f6-c49ea8ecac79,bf354916-9528-4db9-8189-f6524573c41b,4095,135,283,2024-02-25
